responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1011,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258456,,,,,,,,,,,,,,,test,test
1063,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258508,,,,,,,,,,,,,,,test,test
1114,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258558,,,,,,,,,,,,,,,test,test
1163,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258608,,,,,,,,,,,,,,,test,test
1214,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258659,,,,,,,,,,,,,,,test,test
1264,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258709,,,,,,,,,,,,,,,test,test
1315,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258760,,,,,,,,,,,,,,,test,test
1366,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258811,,,,,,,,,,,,,,,test,test
1417,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258862,,,,,,,,,,,,,,,test,test
1467,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258912,,,,,,,,,,,,,,,test,test
