responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1187,raw_position_sample,2,2,int,,,900,1,-1,999,416,110,921046.6999999993,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1235,raw_position_sample,2,2,int,,,900,1,-1,999,424,111,921094.5999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1286,raw_position_sample,2,2,int,,,900,1,-1,999,428,113,921144.9000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1336,raw_position_sample,2,2,int,,,900,1,1, The ,435,114,921195.0999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1385,raw_position_sample,2,2,int,,,900,1,1, The ,439,115,921244.3000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1436,raw_position_sample,2,2,int,,,900,1,1, The ,447,117,921295.5999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1484,raw_position_sample,2,2,int,,,900,1,1, The ,451,117,921343.6999999993,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1550,raw_position_sample,2,2,int,,,900,1,1, The ,452,118,921408.9000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1591,raw_position_sample,2,2,int,,,900,1,1, The ,453,118,921450.4000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1637,raw_position_sample,2,2,int,,,900,1,1, The ,456,119,921495.9000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1702,raw_position_sample,2,2,int,,,900,1,1, The ,456,119,921561.3000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1749,raw_position_sample,2,2,int,,,900,1,1, The ,459,119,921608.6999999993,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1785,raw_position_sample,2,2,int,,,900,1,1, The ,460,119,921644.4000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1847,raw_position_sample,2,2,int,,,900,1,1, The ,462,120,921706,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1886,raw_position_sample,2,2,int,,,900,1,1, The ,463,120,921745,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
