responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1317,hover_association,2,1,ele,11,2,7,8,26, very ,756,141,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,739.75,180.06666564941406,778.7666625976562,2,9,hover,16,16,0.41648872348646615,0.023333358764648437,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1333,hover_association,2,1,ele,11,2,7,8,24, freedom ,694,144,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,631.6666641235352,180.06666564941406,702.7333450317383,2,7,hover,17,17,0.8771105541988214,0.09833335876464844,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1350,hover_association,2,1,ele,11,2,7,8,23, that ,630,148,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,596.6333084106445,180.06666564941406,631.6666641235352,2,6,hover,17,17,0.952426363686254,0.19833335876464844,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1365,raw_position_sample,2,1,ele,11,2,7,8,22, realized ,561,154,164559,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,528.566650390625,170.06666564941406,596.6333160400391,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1383,hover_association,2,1,ele,11,2,7,8,22, realized ,561,154,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,528.566650390625,180.06666564941406,596.6333084106445,2,5,hover,34,34,0.0798239515120158,0.37333335876464846,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1401,hover_association,2,1,ele,11,2,7,8,21, he ,505,154,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,503.53333282470703,180.06666564941406,528.566650390625,2,4,hover,16,16,0.05858860582225775,0.34833335876464844,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1418,raw_position_sample,2,1,ele,11,2,7,8,20," then, ",478,154,164614,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,458.48333740234375,170.06666564941406,503.53334045410156,2,3,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1470,raw_position_sample,2,1,ele,11,2,7,8,20," then, ",462,156,164664,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,458.48333740234375,170.06666564941406,503.53334045410156,2,3,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1483,hover_association,2,1,ele,11,2,7,8,20," then, ",490,154,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,458.4833450317383,180.06666564941406,503.53333282470703,2,3,hover,83,83,0.07806117472046432,0.3983333587646484,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1520,raw_position_sample,2,1,ele,11,2,7,8,19, and ,438,164,164714,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,423.433349609375,170.06666564941406,458.4833526611328,2,2,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
