responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1406,raw_position_sample,2,2,int,,,900,1,5, at ,626,125,114414,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,607.566650390625,130.06666564941406,627.5833129882812,1,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1417,hover_association,2,2,int,,,900,1,5, at ,613,125,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,607.5666580200195,140.06666564941406,627.5833129882812,1,5,hover,34,34,0.9209002208015404,0.6233333587646485,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1433,hover_association,2,2,int,,,900,1,6, the ,646,124,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,627.5833129882812,140.06666564941406,657.6166763305664,1,6,hover,16,16,0.6132076118757293,0.5983333587646484,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1457,raw_position_sample,2,2,int,,,900,1,7, station ,676,122,114465,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,657.61669921875,130.06666564941406,715.6667022705078,1,7,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1484,hover_association,2,2,int,,,900,1,7, station ,662,123,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,657.6166763305664,140.06666564941406,715.6666946411133,1,7,hover,50,50,0.7128907944188335,0.5233333587646485,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1507,raw_position_sample,2,2,int,,,900,1,8, two ,730,119,114515,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,715.6666870117188,130.06666564941406,748.683349609375,1,8,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1533,hover_association,2,2,int,,,900,1,8, two ,716,119,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,715.6666946411133,140.06666564941406,748.683349609375,1,8,hover,50,50,0.918727393433573,0.47333335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1557,raw_position_sample,2,2,int,,,900,1,9, minutes ,758,119,114565,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,748.683349609375,130.06666564941406,816.7333526611328,1,9,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1608,raw_position_sample,2,2,int,,,900,1,9, minutes ,778,119,114616,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,748.683349609375,130.06666564941406,816.7333526611328,1,9,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1659,raw_position_sample,2,2,int,,,900,1,9, minutes ,808,114,114667,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,748.683349609375,130.06666564941406,816.7333526611328,1,9,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
