responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,92, be ,634,341,,hover,17,17,0.6557923035451041,0.023333740234375,141,340.066650390625,617.5833129882812,380.066650390625,642.6166763305664,7,5,,,elementary,2,,,,,,,,,,,,
7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,90, there ,582,341,,hover,33,33,0.27072035929244914,0.048333740234375,141,340.066650390625,541.533332824707,380.066650390625,587.5833129882812,7,3,,,elementary,2,,,,,,,,,,,,
7808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,89, Maybe ,528,343,200367,,,,,,,350.066650390625,482.48333740234375,370.066650390625,541.5333404541016,7,2,,,elementary,2,,,,,,,,,,,,
7844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,89, Maybe ,528,343,,hover,49,49,0.3982499547791933,0.148333740234375,141,340.066650390625,482.4833450317383,380.066650390625,541.533332824707,7,2,,,elementary,2,,,,,,,,,,,,
7858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,478,346,200417,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
7908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,458,347,200467,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
7959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,446,350,200518,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
8009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,435,354,200568,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,420,364,200624,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
8115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,418,362,200674,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
8165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,453,363,200724,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,88, hazards. ,478,346,,hover,350,350,0.8179566164833054,0.698333740234375,141,340.066650390625,408.41668701171875,380.066650390625,482.4833450317383,7,1,,,elementary,2,,,,,,,,,,,,
8216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,89, Maybe ,508,373,200774,,,,,,,350.066650390625,482.48333740234375,370.066650390625,541.5333404541016,7,2,,,elementary,2,,,,,,,,,,,,
8228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,89, Maybe ,488,370,,hover,33,33,0.4321195638130184,0.823333740234375,141,340.066650390625,482.4833450317383,380.066650390625,541.533332824707,7,2,,,elementary,2,,,,,,,,,,,,
8261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,90, there ,546,378,,hover,34,34,0.5095912548048225,0.973333740234375,141,340.066650390625,541.533332824707,380.066650390625,587.5833129882812,7,3,,,elementary,2,,,,,,,,,,,,
8267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,91, will ,594,378,200826,,,,,,,350.066650390625,587.5833129882812,370.066650390625,617.5833129882812,7,4,,,elementary,2,,,,,,,,,,,,
8294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,91, will ,594,378,,hover,34,34,0.947222900390625,0.923333740234375,141,340.066650390625,587.5833129882812,380.066650390625,617.5833129882812,7,4,,,elementary,2,,,,,,,,,,,,
8311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,92, be ,632,377,,hover,16,16,0.5758989239518916,0.923333740234375,141,340.066650390625,617.5833129882812,380.066650390625,642.6166763305664,7,5,,,elementary,2,,,,,,,,,,,,
8317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,93, things ,654,377,200876,,,,,,,350.066650390625,642.61669921875,370.066650390625,695.6667022705078,7,6,,,elementary,2,,,,,,,,,,,,
8361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,93, things ,654,377,,hover,50,50,0.7612310976602431,0.948333740234375,141,340.066650390625,642.6166763305664,380.066650390625,695.6666946411133,7,6,,,elementary,2,,,,,,,,,,,,
8367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,94, that ,696,378,200926,,,,,,,350.066650390625,695.6666870117188,370.066650390625,730.7000122070312,7,7,,,elementary,2,,,,,,,,,,,,
8411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,94, that ,696,378,,hover,50,50,0.8658416463645556,0.948333740234375,141,340.066650390625,695.6666946411133,380.066650390625,730.7000122070312,7,7,,,elementary,2,,,,,,,,,,,,
8417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,95, the ,738,378,200976,,,,,,,350.066650390625,730.7000122070312,370.066650390625,760.7333526611328,7,8,,,elementary,2,,,,,,,,,,,,
8444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,95, the ,738,378,,hover,33,33,0.9755822959769889,0.948333740234375,141,340.066650390625,730.7000122070312,380.066650390625,760.7333450317383,7,8,,,elementary,2,,,,,,,,,,,,
8469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,96, map ,798,379,201028,,,,,,,350.066650390625,760.7333374023438,370.066650390625,800.7666625976562,7,9,,,elementary,2,,,,,,,,,,,,
8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,96, map ,774,378,,hover,33,33,0.9308909986512928,0.973333740234375,141,340.066650390625,760.7333450317383,380.066650390625,800.7666625976562,7,9,,,elementary,2,,,,,,,,,,,,
8511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,97, doesn’t ,806,379,,hover,34,34,0.49524326138272956,0.998333740234375,141,340.066650390625,800.7666625976562,380.066650390625,863.8333206176758,7,10,,,elementary,2,,,,,,,,,,,,
8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,111, there ,846,381,201077,,,,,,,390.066650390625,839.7833251953125,410.066650390625,885.8333129882812,8,10,,,elementary,2,,,,,,,,,,,,
8561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,111, there ,846,381,,hover,49,49,0.7864643736174307,0.048333740234375,141,380.066650390625,839.7833251953125,420.066650390625,885.8333129882812,8,10,,,elementary,2,,,,,,,,,,,,
8569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,112, now. ,890,383,201128,,,,,,,390.066650390625,885.8333129882812,410.066650390625,927.8666534423828,8,11,,,elementary,2,,,,,,,,,,,,
8612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,112, now. ,890,383,,hover,51,51,0.9080093520216459,0.098333740234375,141,380.066650390625,885.8333129882812,420.066650390625,927.8666763305664,8,11,,,elementary,2,,,,,,,,,,,,
8619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,113, Maybe ,939,384,201178,,,,,,,390.066650390625,927.86669921875,410.066650390625,986.9167022705078,8,12,,,elementary,2,,,,,,,,,,,,
8670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,113, Maybe ,977,384,201229,,,,,,,390.066650390625,927.86669921875,410.066650390625,986.9167022705078,8,12,,,elementary,2,,,,,,,,,,,,
8694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,113, Maybe ,939,384,,hover,84,84,0.9844759634740105,0.098333740234375,141,380.066650390625,927.8666763305664,420.066650390625,986.9166946411133,8,12,,,elementary,2,,,,,,,,,,,,
8721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,114, GPS ,996,384,201280,,,,,,,390.066650390625,986.9166870117188,410.066650390625,1024.9166870117188,8,13,,,elementary,2,,,,,,,,,,,,
8771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,114, GPS ,1001,384,201331,,,,,,,390.066650390625,986.9166870117188,410.066650390625,1024.9166870117188,8,13,,,elementary,2,,,,,,,,,,,,
8822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,114, GPS ,990,382,201381,,,,,,,390.066650390625,986.9166870117188,410.066650390625,1024.9166870117188,8,13,,,elementary,2,,,,,,,,,,,,
8827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,114, GPS ,991,384,,hover,133,133,0.0811396309982362,0.048333740234375,141,380.066650390625,986.9166946411133,420.066650390625,1024.9166870117188,8,13,,,elementary,2,,,,,,,,,,,,
8844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,100, Maybe ,972,377,,hover,17,17,0.10273735613976788,0.923333740234375,141,340.066650390625,965.9333572387695,380.066650390625,1024.9833755493164,7,13,,,elementary,2,,,,,,,,,,,,
8861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,99, about. ,938,365,,hover,16,16,0.49273577455422085,0.623333740234375,141,340.066650390625,910.8666763305664,380.066650390625,965.9333572387695,7,12,,,elementary,2,,,,,,,,,,,,
8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,98, know ,890,354,201431,,,,,,,350.066650390625,863.8333129882812,370.066650390625,910.8666534423828,7,11,,,elementary,2,,,,,,,,,,,,
8878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,98, know ,890,354,,hover,16,16,0.5563430247685391,0.348333740234375,141,340.066650390625,863.8333206176758,380.066650390625,910.8666763305664,7,11,,,elementary,2,,,,,,,,,,,,
8894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,97, doesn’t ,810,341,,hover,17,17,0.1464060042536703,0.023333740234375,141,340.066650390625,800.7666625976562,380.066650390625,863.8333206176758,7,10,,,elementary,2,,,,,,,,,,,,
8913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,81, said. ,762,334,,hover,18,18,0.20100743502794008,0.848333740234375,141,300.066650390625,753.349983215332,340.066650390625,796.38330078125,6,11,,,elementary,2,,,,,,,,,,,,
8923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,79," city,” ",717,333,201482,,,,,,,310.066650390625,686.6500244140625,330.066650390625,728.3166961669922,6,9,,,elementary,2,,,,,,,,,,,,
8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,79," city,” ",717,333,,hover,16,16,0.7283999241943591,0.823333740234375,141,300.066650390625,686.6499938964844,340.066650390625,728.3166732788086,6,9,,,elementary,2,,,,,,,,,,,,
8944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,77, town ,654,333,,hover,16,16,0.7296675822534426,0.823333740234375,141,300.066650390625,622.599983215332,340.066650390625,665.63330078125,6,7,,,elementary,2,,,,,,,,,,,,
8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,75, in ,594,332,,hover,17,17,0.2857152027319791,0.798333740234375,141,300.066650390625,588.566650390625,340.066650390625,607.5833129882812,6,5,,,elementary,2,,,,,,,,,,,,
8974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,73, probably ,561,332,201532,,,,,,,310.066650390625,489.45001220703125,330.066650390625,563.5333557128906,6,3,,,elementary,2,,,,,,,,,,,,
8994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,73, probably ,561,332,,hover,33,33,0.6553429623336166,0.873333740234375,141,300.066650390625,489.45001220703125,340.066650390625,563.5333404541016,6,3,,,elementary,2,,,,,,,,,,,,
9024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,89, Maybe ,490,351,201582,,,,,,,350.066650390625,482.48333740234375,370.066650390625,541.5333404541016,7,2,,,elementary,2,,,,,,,,,,,,
9046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,89, Maybe ,510,342,,hover,51,51,0.02568425540711646,0.373333740234375,141,340.066650390625,482.4833450317383,380.066650390625,541.533332824707,7,2,,,elementary,2,,,,,,,,,,,,
9075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,88, hazards. ,442,377,201633,,,,,,,350.066650390625,408.41668701171875,370.066650390625,482.4833526611328,7,1,,,elementary,2,,,,,,,,,,,,
9078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,88, hazards. ,462,366,,hover,33,33,0.4534201202814361,0.923333740234375,141,340.066650390625,408.41668701171875,380.066650390625,482.4833450317383,7,1,,,elementary,2,,,,,,,,,,,,
9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,102, will ,422,390,201684,,,,,,,390.066650390625,408.41668701171875,410.066650390625,438.41668701171875,8,1,,,elementary,2,,,,,,,,,,,,
9175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,102, will ,414,398,201735,,,,,,,390.066650390625,408.41668701171875,410.066650390625,438.41668701171875,8,1,,,elementary,2,,,,,,,,,,,,
9225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,102, will ,427,406,201784,,,,,,,390.066650390625,408.41668701171875,410.066650390625,438.41668701171875,8,1,,,elementary,2,,,,,,,,,,,,
9227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,102, will ,432,382,,hover,150,150,0.6194437662760417,0.648333740234375,141,380.066650390625,408.41668701171875,420.066650390625,438.41668701171875,8,1,,,elementary,2,,,,,,,,,,,,
9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,103, be ,439,409,,hover,17,17,0.023301458505020165,0.723333740234375,141,380.066650390625,438.41668701171875,420.066650390625,463.45001220703125,8,2,,,elementary,2,,,,,,,,,,,,
9276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,104, construction ,503,408,201835,,,,,,,390.066650390625,463.45001220703125,410.066650390625,565.5333557128906,8,3,,,elementary,2,,,,,,,,,,,,
9311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,104, construction ,468,409,,hover,66,66,0.7890611442253839,0.648333740234375,141,380.066650390625,463.45001220703125,420.066650390625,565.5333404541016,8,3,,,elementary,2,,,,,,,,,,,,
9332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,105, equipment ,587,401,201890,,,,,,,390.066650390625,565.5333251953125,410.066650390625,654.6333160400391,8,4,,,elementary,2,,,,,,,,,,,,
9381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,105, equipment ,637,397,201940,,,,,,,390.066650390625,565.5333251953125,410.066650390625,654.6333160400391,8,4,,,elementary,2,,,,,,,,,,,,
9394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,105, equipment ,570,402,,hover,84,84,0.802095232859737,0.423333740234375,141,380.066650390625,565.5333404541016,420.066650390625,654.6333084106445,8,4,,,elementary,2,,,,,,,,,,,,
9428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,106, that ,662,397,,hover,33,33,0.78116101162658,0.448333740234375,141,380.066650390625,654.6333084106445,420.066650390625,689.6666641235352,8,5,,,elementary,2,,,,,,,,,,,,
9431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,107, wasn’t ,720,402,201990,,,,,,,390.066650390625,689.6666870117188,410.066650390625,745.7000122070312,8,6,,,elementary,2,,,,,,,,,,,,
9461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,107, wasn’t ,720,402,,hover,33,33,0.9161211605626761,0.648333740234375,141,380.066650390625,689.6666641235352,420.066650390625,745.7000122070312,8,6,,,elementary,2,,,,,,,,,,,,
9488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,108, there ,777,410,202048,,,,,,,390.066650390625,745.7000122070312,410.066650390625,791.7500152587891,8,7,,,elementary,2,,,,,,,,,,,,
9539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,108, there ,777,410,202098,,,,,,,390.066650390625,745.7000122070312,410.066650390625,791.7500152587891,8,7,,,elementary,2,,,,,,,,,,,,
9589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,108, there ,777,410,202148,,,,,,,390.066650390625,745.7000122070312,410.066650390625,791.7500152587891,8,7,,,elementary,2,,,,,,,,,,,,
9640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,108, there ,777,410,202199,,,,,,,390.066650390625,745.7000122070312,410.066650390625,791.7500152587891,8,7,,,elementary,2,,,,,,,,,,,,
9690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,108, there ,777,410,202249,,,,,,,390.066650390625,745.7000122070312,410.066650390625,791.7500152587891,8,7,,,elementary,2,,,,,,,,,,,,
9741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,108, there ,777,410,202300,,,,,,,390.066650390625,745.7000122070312,410.066650390625,791.7500152587891,8,7,,,elementary,2,,,,,,,,,,,,
9761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,108, there ,760,409,,hover,300,300,0.9619976589933672,0.723333740234375,141,380.066650390625,745.7000122070312,420.066650390625,791.7500076293945,8,7,,,elementary,2,,,,,,,,,,,,
9778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,110, is ,831,405,,hover,17,17,0.512037282323745,0.623333740234375,141,380.066650390625,821.783332824707,420.066650390625,839.7833251953125,8,9,,,elementary,2,,,,,,,,,,,,
9791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,111, there ,874,404,202350,,,,,,,390.066650390625,839.7833251953125,410.066650390625,885.8333129882812,8,10,,,elementary,2,,,,,,,,,,,,
9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,111, there ,874,404,,hover,17,17,0.7430333089015922,0.598333740234375,141,380.066650390625,839.7833251953125,420.066650390625,885.8333129882812,8,10,,,elementary,2,,,,,,,,,,,,
9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,113, Maybe ,981,416,202401,,,,,,,390.066650390625,927.86669921875,410.066650390625,986.9167022705078,8,12,,,elementary,2,,,,,,,,,,,,
9844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,113, Maybe ,931,410,,hover,49,49,0.8998019846497405,0.898333740234375,141,380.066650390625,927.8666763305664,420.066650390625,986.9166946411133,8,12,,,elementary,2,,,,,,,,,,,,
9861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,114, GPS ,1002,420,,hover,17,17,0.3969291680846301,0.998333740234375,141,380.066650390625,986.9166946411133,420.066650390625,1024.9166870117188,8,13,,,elementary,2,,,,,,,,,,,,
9877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,129, it ,1010,422,,hover,16,16,0.8833355949050875,0.048333740234375,141,420.066650390625,997.6333084106445,460.066650390625,1011.63330078125,9,15,,,elementary,2,,,,,,,,,,,,
9892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,130, is.” ,1014,422,202451,,,,,,,430.066650390625,1011.63330078125,450.066650390625,1040.63330078125,9,16,,,elementary,2,,,,,,,,,,,,
9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,130, is.” ,1019,423,202501,,,,,,,430.066650390625,1011.63330078125,450.066650390625,1040.63330078125,9,16,,,elementary,2,,,,,,,,,,,,
9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,130, is.” ,1014,422,,hover,101,101,0.15057583512931033,0.073333740234375,141,420.066650390625,1011.63330078125,460.066650390625,1040.63330078125,9,16,,,elementary,2,,,,,,,,,,,,
9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,129, it ,1005,422,,hover,16,16,0.5261925431347129,0.048333740234375,141,420.066650390625,997.6333084106445,460.066650390625,1011.63330078125,9,15,,,elementary,2,,,,,,,,,,,,
9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,113, Maybe ,981,419,202557,,,,,,,390.066650390625,927.86669921875,410.066650390625,986.9167022705078,8,12,,,elementary,2,,,,,,,,,,,,
10011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,113, Maybe ,981,419,,hover,17,17,0.8998019846497405,0.973333740234375,141,380.066650390625,927.8666763305664,420.066650390625,986.9166946411133,8,12,,,elementary,2,,,,,,,,,,,,
10045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,112, now. ,922,416,,hover,33,33,0.3608249686853207,0.898333740234375,141,380.066650390625,885.8333129882812,420.066650390625,927.8666763305664,8,11,,,elementary,2,,,,,,,,,,,,
10048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,109, but ,798,418,202607,,,,,,,390.066650390625,791.75,410.066650390625,821.7833404541016,8,8,,,elementary,2,,,,,,,,,,,,
10061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,109, but ,798,418,,hover,17,17,0.2081019111257433,0.948333740234375,141,380.066650390625,791.7500076293945,420.066650390625,821.783332824707,8,8,,,elementary,2,,,,,,,,,,,,
10078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,123, have ,742,421,,hover,16,16,0.6961791191503711,0.023333740234375,141,420.066650390625,711.3333129882812,460.066650390625,755.3833084106445,9,9,,,elementary,2,,,,,,,,,,,,
10094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,30,2,12,13,121, going ,684,427,,hover,18,18,0.8508833253048467,0.173333740234375,141,420.066650390625,642.2499923706055,460.066650390625,691.3166580200195,9,7,,,elementary,2,,,,,,,,,,,,
10098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,30,2,12,13,120, it’s ,634,439,202657,,,,,,,430.066650390625,615.5833129882812,450.066650390625,642.2499847412109,9,6,,,elementary,2,,,,,,,,,,,,
