responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
5721,raw_position_sample,2,2,int,26,4,20,21,48, the ,756,240,429604,EmTest3,EmTest3,230.06666564941406,745.7000122070312,250.06666564941406,775.7333526611328,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5745,hover_association,2,2,int,26,4,20,21,48, the ,746,242,,EmTest3,EmTest3,220.06666564941406,745.7000122070312,260.06665802001953,775.7333450317383,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,299,299,0.6759152542760386,0.44833344427746663,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5762,hover_association,2,2,int,26,4,20,21,49, World ,815,232,,EmTest3,EmTest3,220.06666564941406,775.7333450317383,260.06665802001953,827.4333419799805,4,8,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.7595098121102848,0.2983334156672317,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5770,raw_position_sample,2,2,int,26,4,20,21,50," Bank, ",845,230,429654,EmTest3,EmTest3,230.06666564941406,827.433349609375,250.06666564941406,878.4666748046875,4,9,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5778,hover_association,2,2,int,26,4,20,21,50," Bank, ",845,230,,EmTest3,EmTest3,220.06666564941406,827.4333419799805,260.06665802001953,878.4666748046875,4,9,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.34421929840166926,0.2483334061304867,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5821,raw_position_sample,2,2,int,26,4,20,21,51, Austria ,935,236,429705,EmTest3,EmTest3,230.06666564941406,878.4666748046875,250.06666564941406,939.5000152587891,4,10,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5828,hover_association,2,2,int,26,4,20,21,51, Austria ,890,230,,EmTest3,EmTest3,220.06666564941406,878.4666748046875,260.06665802001953,939.5000076293945,4,10,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.9262696723064602,0.39833343474072164,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5872,raw_position_sample,2,2,int,26,4,20,21,52, has ,963,241,429756,EmTest3,EmTest3,230.06666564941406,939.5,250.06666564941406,973.5333404541016,4,11,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5922,raw_position_sample,2,2,int,26,4,20,21,52, has ,971,243,429806,EmTest3,EmTest3,230.06666564941406,939.5,250.06666564941406,973.5333404541016,4,11,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5945,hover_association,2,2,int,26,4,20,21,52, has ,947,238,,EmTest3,EmTest3,220.06666564941406,939.5000076293945,260.06665802001953,973.533332824707,4,11,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,117,117,0.984329100326039,0.5733334681193291,128,,,,,,,,,,,,,,,EmTest3,EmTest3
