responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
2064,raw_position_sample,2,2,int,24,6,22,23,5, wild ,612,135,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331088,,,,,,,,,,,,,,,Emtest2,Emtest2
2115,raw_position_sample,2,2,int,24,6,22,23,5, wild ,612,135,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331138,,,,,,,,,,,,,,,Emtest2,Emtest2
2134,hover_association,2,2,int,24,6,22,23,5, wild ,601,133,hover,285,285,0.760758976431644,0.8483333587646484,109,Emtest2,Emtest2,,,100.06666564941406,594.599983215332,140.06666564941406,630.6166687011719,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2165,raw_position_sample,2,2,int,24,6,22,23,6," beaches, ",665,131,,,,,,,Emtest2,Emtest2,,,110.06666564941406,630.61669921875,130.06666564941406,708.7000274658203,1,6,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331189,,,,,,,,,,,,,,,Emtest2,Emtest2
2171,hover_association,2,2,int,24,6,22,23,6," beaches, ",634,133,hover,37,37,0.4403413890276076,0.7733333587646485,109,Emtest2,Emtest2,,,100.06666564941406,630.6166687011719,140.06666564941406,708.7000198364258,1,6,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2201,hover_association,2,2,int,24,6,22,23,7, where ,719,126,hover,29,29,0.949121031443558,0.5733333587646484,109,Emtest2,Emtest2,,,100.06666564941406,708.7000198364258,140.06666564941406,762.7500076293945,1,7,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2216,raw_position_sample,2,2,int,24,6,22,23,9, can ,798,122,,,,,,,Emtest2,Emtest2,,,110.06666564941406,796.7833251953125,130.06666564941406,830.816650390625,1,9,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331240,,,,,,,,,,,,,,,Emtest2,Emtest2
2217,hover_association,2,2,int,24,6,22,23,9, can ,798,122,hover,17,17,0.035749296933407906,0.5483333587646484,109,Emtest2,Emtest2,,,100.06666564941406,796.783332824707,140.06666564941406,830.816650390625,1,9,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2250,hover_association,2,2,int,24,6,22,23,10, swim ,842,121,hover,33,33,0.4605076002038043,0.5233333587646485,109,Emtest2,Emtest2,,,100.06666564941406,830.816650390625,140.06666564941406,876.816650390625,1,10,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2270,raw_position_sample,2,2,int,24,6,22,23,11, and ,899,121,,,,,,,Emtest2,Emtest2,,,110.06666564941406,876.816650390625,130.06666564941406,911.8666534423828,1,11,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331293,,,,,,,,,,,,,,,Emtest2,Emtest2
2284,hover_association,2,2,int,24,6,22,23,11, and ,882,121,hover,33,33,0.6329053692395665,0.5233333587646485,109,Emtest2,Emtest2,,,100.06666564941406,876.816650390625,140.06666564941406,911.8666763305664,1,11,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2320,raw_position_sample,2,2,int,24,6,22,23,12, sunbathe ,953,122,,,,,,,Emtest2,Emtest2,,,110.06666564941406,911.86669921875,130.06666564941406,990.9666900634766,1,12,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331345,,,,,,,,,,,,,,,Emtest2,Emtest2
2371,raw_position_sample,2,2,int,24,6,22,23,12, sunbathe ,989,121,,,,,,,Emtest2,Emtest2,,,110.06666564941406,911.86669921875,130.06666564941406,990.9666900634766,1,12,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331395,,,,,,,,,,,,,,,Emtest2,Emtest2
2383,hover_association,2,2,int,24,6,22,23,12, sunbathe ,916,121,hover,100,100,0.9751367600211269,0.5233333587646485,109,Emtest2,Emtest2,,,100.06666564941406,911.8666763305664,140.06666564941406,990.966682434082,1,12,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2421,raw_position_sample,2,2,int,24,6,22,23,13, virtually ,1015,118,,,,,,,Emtest2,Emtest2,,,110.06666564941406,990.9666748046875,130.06666564941406,1052.000015258789,1,13,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331445,,,,,,,,,,,,,,,Emtest2,Emtest2
2472,raw_position_sample,2,2,int,24,6,22,23,13, virtually ,1024,120,,,,,,,Emtest2,Emtest2,,,110.06666564941406,990.9666748046875,130.06666564941406,1052.000015258789,1,13,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331496,,,,,,,,,,,,,,,Emtest2,Emtest2
2522,raw_position_sample,2,2,int,24,6,22,23,13, virtually ,1020,120,,,,,,,Emtest2,Emtest2,,,110.06666564941406,990.9666748046875,130.06666564941406,1052.000015258789,1,13,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331546,,,,,,,,,,,,,,,Emtest2,Emtest2
2534,hover_association,2,2,int,24,6,22,23,13, virtually ,1000,119,hover,150,150,0.4756960864205818,0.49833335876464846,109,Emtest2,Emtest2,,,100.06666564941406,990.966682434082,140.06666564941406,1052.000015258789,1,13,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2566,hover_association,2,2,int,24,6,22,23,12, sunbathe ,982,124,hover,34,34,0.4441633496646732,0.6483333587646485,109,Emtest2,Emtest2,,,100.06666564941406,911.8666763305664,140.06666564941406,990.966682434082,1,12,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2572,raw_position_sample,2,2,int,24,6,22,23,10, swim ,875,126,,,,,,,Emtest2,Emtest2,,,110.06666564941406,830.816650390625,130.06666564941406,876.816650390625,1,10,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331596,,,,,,,,,,,,,,,Emtest2,Emtest2
2584,hover_association,2,2,int,24,6,22,23,10, swim ,875,126,hover,17,17,0.9605076002038043,0.6483333587646485,109,Emtest2,Emtest2,,,100.06666564941406,830.816650390625,140.06666564941406,876.816650390625,1,10,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2600,hover_association,2,2,int,24,6,22,23,9, can ,822,126,hover,15,15,0.7409406128700697,0.6483333587646485,109,Emtest2,Emtest2,,,100.06666564941406,796.783332824707,140.06666564941406,830.816650390625,1,9,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2616,hover_association,2,2,int,24,6,22,23,8, you ,770,128,hover,18,18,0.21302627142657307,0.6983333587646484,109,Emtest2,Emtest2,,,100.06666564941406,762.7500076293945,140.06666564941406,796.783332824707,1,8,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2623,raw_position_sample,2,2,int,24,6,22,23,6," beaches, ",684,134,,,,,,,Emtest2,Emtest2,,,110.06666564941406,630.61669921875,130.06666564941406,708.7000274658203,1,6,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331647,,,,,,,,,,,,,,,Emtest2,Emtest2
2650,hover_association,2,2,int,24,6,22,23,6," beaches, ",684,134,hover,33,33,0.030522912556606104,0.8983333587646485,109,Emtest2,Emtest2,,,100.06666564941406,630.6166687011719,140.06666564941406,708.7000198364258,1,6,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2666,hover_association,2,2,int,24,6,22,23,4, of ,592,140,hover,16,16,0.8701090552609673,0.9983333587646485,109,Emtest2,Emtest2,,,100.06666564941406,574.5833206176758,140.06666564941406,594.599983215332,1,4,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2673,raw_position_sample,2,2,int,24,6,22,23,17, nightlife ,547,142,,,,,,,Emtest2,Emtest2,,,150.06666564941406,524.5166625976562,170.06666564941406,591.5833282470703,2,4,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331697,,,,,,,,,,,,,,,Emtest2,Emtest2
2700,hover_association,2,2,int,24,6,22,23,17, nightlife ,547,142,hover,33,33,0.007206821043617125,0.048333358764648435,109,Emtest2,Emtest2,,,140.06666564941406,524.5166625976562,180.06666564941406,591.5833206176758,2,4,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2723,raw_position_sample,2,2,int,24,6,22,23,16, small ,482,142,,,,,,,Emtest2,Emtest2,,,150.06666564941406,477.5,170.06666564941406,524.5166625976562,2,3,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331748,,,,,,,,,,,,,,,Emtest2,Emtest2
2733,hover_association,2,2,int,24,6,22,23,16, small ,505,142,hover,34,34,0.0957107491552223,0.048333358764648435,109,Emtest2,Emtest2,,,140.06666564941406,477.5,180.06666564941406,524.5166625976562,2,3,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2750,hover_association,2,2,int,24,6,22,23,15, a ,467,143,hover,16,16,0.3007763698245611,0.07333335876464844,109,Emtest2,Emtest2,,,140.06666564941406,462.4833450317383,180.06666564941406,477.5,2,2,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2775,raw_position_sample,2,2,int,24,6,22,23,14," alone, ",449,146,,,,,,,Emtest2,Emtest2,,,150.06666564941406,408.41668701171875,170.06666564941406,462.4833526611328,2,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331799,,,,,,,,,,,,,,,Emtest2,Emtest2
2837,raw_position_sample,2,2,int,24,6,22,23,14," alone, ",442,148,,,,,,,Emtest2,Emtest2,,,150.06666564941406,408.41668701171875,170.06666564941406,462.4833526611328,2,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331860,,,,,,,,,,,,,,,Emtest2,Emtest2
2889,raw_position_sample,2,2,int,24,6,22,23,14," alone, ",440,149,,,,,,,Emtest2,Emtest2,,,150.06666564941406,408.41668701171875,170.06666564941406,462.4833526611328,2,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331913,,,,,,,,,,,,,,,Emtest2,Emtest2
2939,raw_position_sample,2,2,int,24,6,22,23,14," alone, ",440,149,,,,,,,Emtest2,Emtest2,,,150.06666564941406,408.41668701171875,170.06666564941406,462.4833526611328,2,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331964,,,,,,,,,,,,,,,Emtest2,Emtest2
2990,raw_position_sample,2,2,int,24,6,22,23,14," alone, ",444,150,,,,,,,Emtest2,Emtest2,,,150.06666564941406,408.41668701171875,170.06666564941406,462.4833526611328,2,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332014,,,,,,,,,,,,,,,Emtest2,Emtest2
3000,hover_association,2,2,int,24,6,22,23,14," alone, ",456,144,hover,250,250,0.658137830067204,0.24833335876464843,109,Emtest2,Emtest2,,,140.06666564941406,408.41668701171875,180.06666564941406,462.4833450317383,2,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3017,hover_association,2,2,int,24,6,22,23,15, a ,477,147,hover,17,17,0.9667036366583124,0.17333335876464845,109,Emtest2,Emtest2,,,140.06666564941406,462.4833450317383,180.06666564941406,477.5,2,2,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3033,hover_association,2,2,int,24,6,22,23,3, dozens ,545,140,hover,17,17,0.530919799043656,0.9983333587646485,109,Emtest2,Emtest2,,,100.06666564941406,511.51666259765625,140.06666564941406,574.5833206176758,1,3,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3041,raw_position_sample,2,2,int,24,6,22,23,5, wild ,606,138,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332064,,,,,,,,,,,,,,,Emtest2,Emtest2
3050,hover_association,2,2,int,24,6,22,23,5, wild ,606,138,hover,17,17,0.31652043020865833,0.9483333587646484,109,Emtest2,Emtest2,,,100.06666564941406,594.599983215332,140.06666564941406,630.6166687011719,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3086,hover_association,2,2,int,24,6,22,23,6," beaches, ",655,134,hover,35,35,0.9398076572266406,0.8483333587646484,109,Emtest2,Emtest2,,,100.06666564941406,630.6166687011719,140.06666564941406,708.7000198364258,1,6,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3094,raw_position_sample,2,2,int,24,6,22,23,7, where ,723,134,,,,,,,Emtest2,Emtest2,,,110.06666564941406,708.7000122070312,130.06666564941406,762.7500152587891,1,7,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332118,,,,,,,,,,,,,,,Emtest2,Emtest2
3117,hover_association,2,2,int,24,6,22,23,7, where ,723,134,hover,32,32,0.5790931957924691,0.8483333587646484,109,Emtest2,Emtest2,,,100.06666564941406,708.7000198364258,140.06666564941406,762.7500076293945,1,7,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3145,raw_position_sample,2,2,int,24,6,22,23,8, you ,791,131,,,,,,,Emtest2,Emtest2,,,110.06666564941406,762.75,130.06666564941406,796.7833404541016,1,8,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332169,,,,,,,,,,,,,,,Emtest2,Emtest2
3151,hover_association,2,2,int,24,6,22,23,8, you ,768,132,hover,33,33,0.8300685345461458,0.7733333587646485,109,Emtest2,Emtest2,,,100.06666564941406,762.7500076293945,140.06666564941406,796.783332824707,1,8,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3167,hover_association,2,2,int,24,6,22,23,9, can ,811,130,hover,17,17,0.4177279263990997,0.7483333587646485,109,Emtest2,Emtest2,,,100.06666564941406,796.783332824707,140.06666564941406,830.816650390625,1,9,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3195,raw_position_sample,2,2,int,24,6,22,23,10, swim ,842,130,,,,,,,Emtest2,Emtest2,,,110.06666564941406,830.816650390625,130.06666564941406,876.816650390625,1,10,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332219,,,,,,,,,,,,,,,Emtest2,Emtest2
3245,raw_position_sample,2,2,int,24,6,22,23,10, swim ,863,133,,,,,,,Emtest2,Emtest2,,,110.06666564941406,830.816650390625,130.06666564941406,876.816650390625,1,10,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332270,,,,,,,,,,,,,,,Emtest2,Emtest2
3249,hover_association,2,2,int,24,6,22,23,10, swim ,834,130,hover,82,82,0.6996380349864131,0.8233333587646484,109,Emtest2,Emtest2,,,100.06666564941406,830.816650390625,140.06666564941406,876.816650390625,1,10,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
3295,raw_position_sample,2,2,int,24,6,22,23,11, and ,906,140,,,,,,,Emtest2,Emtest2,,,110.06666564941406,876.816650390625,130.06666564941406,911.8666534423828,1,11,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332320,,,,,,,,,,,,,,,Emtest2,Emtest2
