responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
2913,raw_position_sample,2,1,ele,15,5,30,31,12, help ,934,122,1798519,EmTest1,EmTest1,110.06666564941406,896.7999877929688,130.06666564941406,935.8499908447266,1,12,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2913,hover_association,2,1,ele,15,5,30,31,12, help ,899,124,,EmTest1,EmTest1,100.06666564941406,896.7999954223633,140.06666564941406,935.849983215332,1,12,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.9526252549644808,0.5483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2946,hover_association,2,1,ele,15,5,30,31,13, the ,946,122,,EmTest1,EmTest1,100.06666564941406,935.849983215332,140.06666564941406,965.88330078125,1,13,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.7375148195350877,0.5483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2964,raw_position_sample,2,1,ele,15,5,30,31,14, children ,975,122,1798570,EmTest1,EmTest1,110.06666564941406,965.88330078125,130.06666564941406,1033.949966430664,1,14,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3014,raw_position_sample,2,1,ele,15,5,30,31,14, children ,982,124,1798621,EmTest1,EmTest1,110.06666564941406,965.88330078125,130.06666564941406,1033.949966430664,1,14,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3064,raw_position_sample,2,1,ele,15,5,30,31,14, children ,982,125,1798671,EmTest1,EmTest1,110.06666564941406,965.88330078125,130.06666564941406,1033.949966430664,1,14,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3113,hover_association,2,1,ele,15,5,30,31,14, children ,969,122,,EmTest1,EmTest1,100.06666564941406,965.88330078125,140.06666564941406,1033.9499588012695,1,14,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,167,167,0.17801225403465934,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3116,raw_position_sample,2,1,ele,15,5,30,31,13, the ,965,126,1798722,EmTest1,EmTest1,110.06666564941406,935.8499755859375,130.06666564941406,965.88330078125,1,13,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3146,hover_association,2,1,ele,15,5,30,31,13, the ,965,126,,EmTest1,EmTest1,100.06666564941406,935.849983215332,140.06666564941406,965.88330078125,1,13,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.404551270701306,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3163,hover_association,2,1,ele,15,5,30,31,12, help ,914,125,,EmTest1,EmTest1,100.06666564941406,896.7999954223633,140.06666564941406,935.849983215332,1,12,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.440461202416399,0.6233333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3167,raw_position_sample,2,1,ele,15,5,30,31,11, not ,880,126,1798773,EmTest1,EmTest1,110.06666564941406,866.7666625976562,130.06666564941406,896.8000030517578,1,11,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3179,hover_association,2,1,ele,15,5,30,31,11, not ,880,126,,EmTest1,EmTest1,100.06666564941406,866.7666625976562,140.06666564941406,896.7999954223633,1,11,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.4406216745767655,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
