responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,551,96,391862.5,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,551,96,391901.59999996424,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,575,105,391958.59999996424,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,599,133,392001.59999996424,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,612,139,392049.3000000119,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,619,139,392101.89999997616,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,619,139,392163.89999997616,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,621,136,392212.8000000119,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,621,135,392251.59999996424,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,625,132,392300.09999996424,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,634,131,392352.1999999881,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,638,131,392400.3000000119,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
