responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
2499,raw_position_sample,2,2,int,7,7,18,19,-1,999,638,101,831446.4000000954,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,raw_position_sample,2,2,int,7,7,18,19,-1,999,638,101,831495.7000002861,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,hover_association,2,2,int,7,7,18,19,7, in ,639,101,,33916,33916,92.625,628.53125,132.625,647.546875,1,7,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,2,2,0.5505341002465078,0.209375,69,,,,,,,,,,,
2556,hover_association,2,2,int,7,7,18,19,7, in ,646,101,,33916,33916,92.625,628.53125,132.625,647.546875,1,7,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8999996185302734,0.8999996185302734,0.9186524239934265,0.209375,69,,,,,,,,,,,
2570,hover_association,2,2,int,7,7,18,19,8, North ,653,99,,33916,33916,92.625,647.546875,132.625,696.078125,1,8,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.11236316806181584,0.159375,69,,,,,,,,,,,
2587,hover_association,2,2,int,7,7,18,19,8, North ,673,97,,33916,33916,92.625,647.546875,132.625,696.078125,1,8,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.5244687701223438,0.109375,69,,,,,,,,,,,
2599,raw_position_sample,2,2,int,7,7,18,19,-1,999,673,97,831546.5999999046,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,hover_association,2,2,int,7,7,18,19,8, North ,692,96,,33916,33916,92.625,647.546875,132.625,696.078125,1,8,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8000001907348633,0.8000001907348633,0.9159690920798454,0.084375,69,,,,,,,,,,,
2648,raw_position_sample,2,2,int,7,7,18,19,-1,999,766,91,831596.3000001907,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,raw_position_sample,2,2,int,7,7,18,19,-1,999,816,90,831646.2000002861,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
