responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
3568,raw_position_sample,2,3,adv,15,3,36,37,9, and ,749,111,1220246.8000001907,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,730.265625,122.875,765.3046875,1,9,,,,,,,,,,,
3569,hover_association,2,3,adv,15,3,36,37,9, and ,733,111,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,233.7999997138977,233.7999997138977,0.5346711259754738,0.459375,138,92.625,730.265625,132.625,765.3046875,1,9,,,,,,,,,,,
3618,raw_position_sample,2,3,adv,15,3,36,37,10, opens ,819,115,1220296.700000286,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,765.3046875,122.875,819.3515625,1,10,,,,,,,,,,,
3619,hover_association,2,3,adv,15,3,36,37,10, opens ,766,111,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,49.80000019073486,49.80000019073486,0.9934952298352124,0.559375,138,92.625,765.3046875,132.625,819.3515625,1,10,,,,,,,,,,,
3635,hover_association,2,3,adv,15,3,36,37,11, up ,840,116,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.40000009536743,16.40000009536743,0.8251639088354668,0.584375,138,92.625,819.3515625,132.625,844.375,1,11,,,,,,,,,,,
3668,raw_position_sample,2,3,adv,15,3,36,37,12, the ,873,116,1220346.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,844.375,122.875,874.3984375,1,12,,,,,,,,,,,
3669,hover_association,2,3,adv,15,3,36,37,12, the ,859,116,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33.59999990463257,33.59999990463257,0.9534218058808223,0.584375,138,92.625,844.375,132.625,874.3984375,1,12,,,,,,,,,,,
3718,raw_position_sample,2,3,adv,15,3,36,37,13, possibility ,894,115,1220396.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,874.3984375,122.875,957.4296875,1,13,,,,,,,,,,,
3768,raw_position_sample,2,3,adv,15,3,36,37,13, possibility ,906,115,1220446.700000286,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,874.3984375,122.875,957.4296875,1,13,,,,,,,,,,,
3819,raw_position_sample,2,3,adv,15,3,36,37,13, possibility ,919,115,1220498,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,874.3984375,122.875,957.4296875,1,13,,,,,,,,,,,
3868,raw_position_sample,2,3,adv,15,3,36,37,13, possibility ,928,115,1220546.5,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,874.3984375,122.875,957.4296875,1,13,,,,,,,,,,,
3919,raw_position_sample,2,3,adv,15,3,36,37,13, possibility ,953,114,1220597.9000000954,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,874.3984375,122.875,957.4296875,1,13,,,,,,,,,,,
3935,hover_association,2,3,adv,15,3,36,37,13, possibility ,882,116,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,266.40000009536743,266.40000009536743,0.9466503575461046,0.534375,138,92.625,874.3984375,132.625,957.4296875,1,13,,,,,,,,,,,
