responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
14651,raw_position_sample,2,2,int,7,4,15,16,-1,999,774,291,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739997.0999999046,,,,,,,,,,,
14654,hover_association,2,2,int,7,4,15,16,71, founder ,689,291,hover,1.0999999046325684,1.0999999046325684,0.4306327616794796,0.959375,103,33916,33916,33916,252.625,660.5546875,292.625,726.609375,5,10,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14670,hover_association,2,2,int,7,4,15,16,69," Rye, ",614,291,hover,0.8999996185302734,0.8999996185302734,0.6065451840833024,0.959375,103,33916,33916,33916,252.625,588.515625,292.625,630.53125,5,8,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14687,hover_association,2,2,int,7,4,15,16,68, Court ,548,292,hover,0.6999998092651367,0.6999998092651367,0.17354581673306774,0.984375,103,33916,33916,33916,252.625,539.4921875,292.625,588.515625,5,7,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14701,raw_position_sample,2,2,int,7,4,15,16,-1,999,548,292,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740046.3000001907,,,,,,,,,,,
14703,hover_association,2,2,int,7,4,15,16,79, says ,513,294,hover,0.7000002861022949,0.7000002861022949,0.7266641874302715,0.034375,103,33916,33916,33916,292.625,482.46875,332.625,524.484375,6,3,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14720,hover_association,2,2,int,7,4,15,16,78," website, ",476,298,hover,0.6999998092651367,0.6999998092651367,0.908940943582976,0.134375,103,33916,33916,33916,292.625,411.4296875,332.625,482.46875,6,2,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14737,hover_association,2,2,int,7,4,15,16,78," website, ",456,301,hover,0.9000000953674316,0.9000000953674316,0.6274056966897613,0.209375,103,33916,33916,33916,292.625,411.4296875,332.625,482.46875,6,2,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14751,raw_position_sample,2,2,int,7,4,15,16,-1,999,456,301,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740096.9000000954,,,,,,,,,,,
14802,raw_position_sample,2,2,int,7,4,15,16,78," website, ",422,312,,,,,,,33916,33916,33916,302.375,411.4296875,322.875,482.46875,6,2,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740147.3000001907,,,,,,,,,,,
