responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1834,hover_association,2,2,int,,,900,1,1, The ,376,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.83852842018099,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1851,hover_association,2,2,int,,,900,1,1, The ,378,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.8890006111866879,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1870,hover_association,2,2,int,,,900,1,1, The ,380,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6000003814697266,0.6000003814697266,0.9394728021923858,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1878,raw_position_sample,2,2,int,,,900,1,-1,999,380,130,330346.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,hover_association,2,2,int,,,900,1,1, The ,381,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.9647088976952347,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1900,hover_association,2,2,int,,,900,1,1, The ,382,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.2999997138977051,0.2999997138977051,0.9899449931980836,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1917,hover_association,2,2,int,,,900,1,2, coastal ,384,129,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.40000009536743164,0.40000009536743164,0.025815388490114596,0.709375,19,100.625,382.3984375,140.625,444.4375,1,2,,,,,,,,,,,
1928,raw_position_sample,2,2,int,,,900,1,-1,999,384,129,330396.59999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,raw_position_sample,2,2,int,,,900,1,2, coastal ,390,127,330446,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2029,raw_position_sample,2,2,int,,,900,1,2, coastal ,402,124,330497.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
