responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
1282,raw_position_sample,2,2,int,,,900,1,3, tram ,514,119,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87245.69999998808,,,,,,,,,,,,,,
1333,raw_position_sample,2,2,int,,,900,1,3, tram ,513,119,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87296.5,,,,,,,,,,,,,,
1382,raw_position_sample,2,2,int,,,900,1,3, tram ,513,119,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87345.80000001192,,,,,,,,,,,,,,
1434,raw_position_sample,2,2,int,,,900,1,3, tram ,506,122,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87397.39999997616,,,,,,,,,,,,,,
1481,raw_position_sample,2,2,int,,,900,1,3, tram ,493,125,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87444.19999998808,,,,,,,,,,,,,,
1482,hover_association,2,2,int,,,900,1,3, tram ,495,122,hover,400,400,0.3005177850726883,0.563437449753294,19,,,,,102.46249771118164,480.67501640319824,142.46250534057617,521.6875095367432,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,hover_association,2,2,int,,,900,1,2, coastal ,480,127,hover,16.700000047683716,16.700000047683716,0.9891192198420704,0.6134374402165527,19,,,,,102.46249771118164,418.6375160217285,142.46250534057617,480.67501640319824,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,hover_association,2,2,int,,,900,1,2, coastal ,440,128,hover,16.69999998807907,16.69999998807907,0.3443479161299727,0.638437435448182,19,,,,,102.46249771118164,418.6375160217285,142.46250534057617,480.67501640319824,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,raw_position_sample,2,2,int,,,900,1,-1,,440,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87496.89999997616,,,,,,,,,,,,,,
1585,raw_position_sample,2,2,int,,,900,1,1, The ,411,127,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87548.19999998808,,,,,,,,,,,,,,
